iter	MultiClass
0	2.073131361
1	2.001753202
2	1.913225133
3	1.86757271
4	1.813685889
5	1.764515579
6	1.722322948
7	1.689489153
8	1.651150746
9	1.616907835
10	1.595800367
11	1.558896479
12	1.52366274
13	1.500531484
14	1.486667108
15	1.466466216
16	1.454312808
17	1.438338678
18	1.414411196
19	1.398212506
20	1.380233091
21	1.358131006
22	1.344172737
23	1.328913157
24	1.303884592
25	1.293689512
26	1.284767384
27	1.272515666
28	1.256604002
29	1.247651834
30	1.241882711
31	1.231928087
32	1.225459603
33	1.214995784
34	1.20075741
35	1.189846233
36	1.181008489
37	1.165768884
38	1.160981956
39	1.144163086
40	1.136324727
41	1.123081899
42	1.115126978
43	1.109154294
44	1.103635217
45	1.098382472
46	1.094503874
47	1.090700538
48	1.086416425
49	1.080787699
50	1.075694937
51	1.070062212
52	1.065056138
53	1.060345935
54	1.053591507
55	1.049059426
56	1.04576634
57	1.040064059
58	1.036076183
59	1.03212215
60	1.026093182
61	1.019740903
62	1.015159853
63	1.009885836
64	1.004980262
65	1.000429746
66	0.995284961
67	0.9908030054
68	0.986053195
69	0.9822150993
70	0.9787394369
71	0.972473628
72	0.9697810217
73	0.9659281668
74	0.9623302133
75	0.9569210581
76	0.9523574848
77	0.9476443784
78	0.9430747444
79	0.9374271037
80	0.9324526304
81	0.9281281637
82	0.9245707296
83	0.9226903801
84	0.9165567569
85	0.9119118676
86	0.9073113563
87	0.903452161
88	0.899219417
89	0.895499588
90	0.8928762764
91	0.8896905305
92	0.8854687435
93	0.8830265857
94	0.8800571772
95	0.8763214804
96	0.8726326016
97	0.8689321451
98	0.8645858591
99	0.8621456781
100	0.8546625118
101	0.8518378915
102	0.8480825104
103	0.8461555158
104	0.842755758
105	0.8387065093
106	0.8368296184
107	0.8331133863
108	0.8261258668
109	0.8227942355
110	0.819071791
111	0.816997293
112	0.8115026706
113	0.8092890767
114	0.8061068109
115	0.8013534005
116	0.7983754532
117	0.7930397356
118	0.7896632301
119	0.7865607038
120	0.7825845611
121	0.7802062715
122	0.7774203025
123	0.7736744755
124	0.7693554517
125	0.7658387823
126	0.7634923145
127	0.7610379154
128	0.7596367894
129	0.7562558974
130	0.7533276435
131	0.7502666506
132	0.7475549327
133	0.7446303214
134	0.7405996023
135	0.7373752409
136	0.7351152121
137	0.7325250788
138	0.7288619943
139	0.7270158627
140	0.7245215649
141	0.7207820456
142	0.7179796635
143	0.7151466502
144	0.7131945832
145	0.7104281287
146	0.7081396941
147	0.7060890204
148	0.7035239367
149	0.7018204567
150	0.6993205591
151	0.6976153647
152	0.6954975134
153	0.6928773309
154	0.690355262
155	0.6885154884
156	0.6868368848
157	0.6854675082
158	0.6832019702
159	0.6810775612
160	0.6784705424
161	0.6767068863
162	0.6744037335
163	0.6725842726
164	0.6706057067
165	0.6678949665
166	0.6654976247
167	0.6639256238
168	0.6613165701
169	0.6597465684
170	0.6578286581
171	0.656726017
172	0.6543448998
173	0.6527717896
174	0.6511121505
175	0.649695109
176	0.6479439936
177	0.6448977034
178	0.6429948916
179	0.6412164044
180	0.6382494374
181	0.6366831459
182	0.6351519114
183	0.6336503624
184	0.6322477155
185	0.62987565
186	0.6284633728
187	0.626040002
188	0.6244024417
189	0.622532104
190	0.6208789518
191	0.6192643053
192	0.617407176
193	0.6160713414
194	0.614371802
195	0.612647973
196	0.6112628283
197	0.609325873
198	0.6076176242
199	0.6056352648
200	0.603704921
201	0.6013154059
202	0.5992990823
203	0.5980025104
204	0.5962780048
205	0.5942138625
206	0.5925935498
207	0.5908183013
208	0.5884926691
209	0.5871181415
210	0.5850456002
211	0.583620527
212	0.5822267667
213	0.580295955
214	0.5789143239
215	0.576211092
216	0.5749694679
217	0.5738463988
218	0.5725702487
219	0.5696169607
220	0.5683388535
221	0.5672628439
222	0.5656813644
223	0.5639325181
224	0.5624340486
225	0.5608113624
226	0.5596952284
227	0.5585925989
228	0.5568428642
229	0.5549961979
230	0.5528968682
231	0.551750493
232	0.5504335611
233	0.5485690362
234	0.5473214373
235	0.5463797033
236	0.545281293
237	0.5440616386
238	0.5432013288
239	0.5424028239
240	0.5407652506
241	0.5392153256
242	0.5380724627
243	0.5368707702
244	0.5356250444
245	0.5345715732
246	0.5324015349
247	0.5310938157
248	0.5293209647
249	0.5278986493
250	0.5264530198
251	0.5249481568
252	0.5234853988
253	0.5220795034
254	0.5205409807
255	0.5195171378
256	0.5178469969
257	0.5165222624
258	0.5150266565
259	0.5136526815
260	0.5124026983
261	0.5112575774
262	0.5095525168
263	0.5073145217
264	0.5058415478
265	0.5044859005
266	0.5029460536
267	0.5017892748
268	0.5012235597
269	0.5004182082
270	0.4989366235
271	0.4975870829
272	0.4963950201
273	0.4953555191
274	0.4941173925
275	0.4934313782
276	0.4921436742
277	0.4909751377
278	0.4901041182
279	0.4882801599
280	0.4872824203
281	0.4859298286
282	0.4847849992
283	0.4836654699
284	0.4821150952
285	0.4809277492
286	0.4802566452
287	0.4788119455
288	0.4778399867
289	0.4768200208
290	0.4754566042
291	0.4740357402
292	0.4727697483
293	0.4719060776
294	0.4711327913
295	0.4701346956
296	0.4687788425
297	0.4676282771
298	0.4662954776
299	0.4653095616
300	0.464179682
301	0.462997118
302	0.4616719661
303	0.4607617035
304	0.4595799005
305	0.4577394462
306	0.4565509971
307	0.4556904708
308	0.4544751796
309	0.4535729202
310	0.4522125155
311	0.4505808928
312	0.4493275711
313	0.4487725995
314	0.4477168552
315	0.4466907481
316	0.4457454958
317	0.4444464134
318	0.4431192978
319	0.4416595451
320	0.4402214119
321	0.4391413643
322	0.4379479351
323	0.4368749848
324	0.4358155427
325	0.4343712613
326	0.4326654691
327	0.4311238988
328	0.4297111035
329	0.4286833194
330	0.4274277728
331	0.4265552538
332	0.4252024084
333	0.4235220806
334	0.4224257729
335	0.4214354814
336	0.420681306
337	0.4194981947
338	0.4180161618
339	0.4165100631
