iter	Passed	Remaining
0	12	12773
1	42	21126
2	115	38389
3	154	38388
4	165	32940
5	176	29163
6	184	26159
7	204	25348
8	263	29030
9	304	30190
10	324	29134
11	335	27583
12	353	26841
13	380	26824
14	410	26985
15	488	30049
16	506	29312
17	523	28542
18	550	28432
19	613	30055
20	626	29189
21	636	28298
22	646	27482
23	657	26740
24	665	25942
25	702	26332
26	783	28217
27	889	30893
28	957	32053
29	971	31404
30	984	30771
31	1019	30834
32	1065	31216
33	1134	32219
34	1165	32124
35	1216	32574
36	1234	32125
37	1245	31528
38	1253	30892
39	1307	31387
40	1366	31951
41	1379	31475
42	1388	30910
43	1407	30581
44	1478	31369
45	1521	31545
46	1540	31234
47	1551	30773
48	1615	31348
49	1671	31761
50	1683	31333
51	1700	31009
52	1733	30973
53	1772	31057
54	1805	31022
55	1850	31195
56	1935	32023
57	1980	32165
58	1997	31858
59	2008	31460
60	2020	31097
61	2045	30947
62	2114	31455
63	2142	31333
64	2179	31354
65	2191	31011
66	2208	30748
67	2220	30431
68	2233	30135
69	2266	30117
70	2339	30605
71	2359	30414
72	2379	30221
73	2391	29929
74	2401	29616
75	2412	29325
76	2471	29628
77	2492	29462
78	2506	29225
79	2515	28923
80	2599	29487
81	2630	29453
82	2643	29207
83	2654	28947
84	2664	28682
85	2714	28849
86	2768	29048
87	2795	28971
88	2829	28961
89	2912	29446
90	2926	29231
91	2985	29465
92	3063	29877
93	3112	30002
94	3125	29778
95	3139	29565
96	3188	29682
97	3215	29599
98	3253	29609
99	3266	29402
100	3275	29158
101	3285	28924
102	3316	28879
103	3350	28867
104	3380	28810
105	3395	28637
106	3406	28430
107	3414	28198
108	3423	27984
109	3512	28418
110	3541	28363
111	3555	28191
112	3576	28072
113	3644	28324
114	3672	28260
115	3693	28149
116	3704	27961
117	3716	27781
118	3725	27579
119	3750	27506
120	3829	27822
121	3850	27709
122	3861	27532
123	3872	27356
124	3886	27206
125	3897	27033
126	3923	26972
127	3960	26977
128	3989	26934
129	4030	26972
130	4059	26928
131	4189	27551
132	4203	27398
133	4221	27280
134	4312	27634
135	4329	27506
136	4344	27365
137	4353	27196
138	4373	27087
139	4404	27058
140	4424	26953
141	4437	26813
142	4447	26655
143	4459	26510
144	4473	26377
145	4513	26400
146	4555	26436
147	4588	26417
148	4609	26329
149	4621	26190
150	4632	26044
151	4641	25895
152	4659	25792
153	4724	25956
154	4759	25946
155	4769	25805
156	4779	25665
157	4793	25543
158	4801	25394
159	4814	25278
160	4873	25394
161	4899	25345
162	4954	25442
163	4969	25332
164	4979	25198
165	4989	25066
166	4998	24931
167	5006	24795
168	5092	25042
169	5122	25011
170	5140	24919
171	5149	24791
172	5160	24668
173	5169	24540
174	5222	24618
175	5291	24771
176	5305	24671
177	5318	24559
178	5326	24430
179	5334	24302
180	5396	24416
181	5422	24372
182	5457	24364
183	5493	24361
184	5572	24546
185	5596	24493
186	5623	24448
187	5708	24654
188	5716	24529
189	5743	24487
190	5840	24736
191	5866	24687
192	5890	24628
193	5911	24559
194	5924	24456
195	5932	24334
196	5965	24314
197	6026	24412
198	6041	24318
199	6056	24225
200	6065	24110
201	6073	23992
202	6137	24096
203	6197	24183
204	6212	24092
205	6227	24003
206	6236	23892
207	6245	23779
208	6262	23700
209	6294	23679
210	6324	23649
211	6352	23611
212	6361	23505
213	6373	23409
214	6428	23469
215	6461	23451
216	6514	23507
217	6564	23548
218	6604	23553
219	6616	23456
220	6629	23366
221	6639	23268
222	6668	23233
223	6734	23329
224	6753	23261
225	6766	23174
226	6881	23432
227	6905	23380
228	6915	23284
229	6977	23360
230	7013	23347
231	7048	23331
232	7079	23305
233	7131	23346
234	7190	23408
235	7211	23346
236	7260	23375
237	7343	23510
238	7359	23432
239	7371	23344
240	7383	23253
241	7395	23165
242	7442	23185
243	7510	23271
244	7532	23213
245	7549	23138
246	7559	23046
247	7568	22949
248	7579	22859
249	7678	23035
250	7704	22990
251	7719	22912
252	7798	23026
253	7840	23028
254	7874	23006
255	7895	22947
256	7913	22877
257	7986	22968
258	8035	22990
259	8046	22902
260	8057	22813
261	8067	22723
262	8077	22635
263	8106	22601
264	8190	22716
265	8214	22665
266	8225	22580
267	8238	22503
268	8248	22414
269	8257	22327
270	8286	22291
271	8371	22405
272	8384	22327
273	8408	22279
274	8419	22197
275	8432	22119
276	8442	22034
277	8470	21998
278	8549	22095
279	8573	22045
280	8593	21987
281	8605	21909
282	8616	21829
283	8657	21827
284	8715	21866
285	8736	21810
286	8781	21814
287	8790	21732
288	8798	21647
289	8873	21725
290	8933	21766
291	9083	22023
292	9106	21974
293	9204	22104
294	9242	22089
295	9252	22004
296	9266	21933
297	9302	21915
298	9332	21879
299	9383	21895
300	9404	21839
301	9426	21788
302	9436	21707
303	9445	21626
304	9453	21540
305	9459	21453
306	9485	21411
307	9559	21478
308	9579	21422
309	9599	21367
310	9608	21287
311	9642	21263
312	9669	21223
313	9771	21347
314	9798	21306
315	9873	21372
316	9894	21319
317	9906	21246
318	9916	21169
319	9986	21221
320	10013	21180
321	10027	21113
322	10085	21139
323	10111	21097
324	10140	21060
325	10153	20993
326	10222	21039
327	10256	21012
328	10276	20959
329	10289	20890
330	10299	20815
331	10308	20740
332	10316	20664
333	10365	20667
334	10421	20687
335	10431	20615
336	10442	20543
337	10451	20469
338	10466	20407
339	10495	20374
340	10566	20420
341	10578	20351
342	10587	20279
343	10619	20251
344	10655	20230
345	10718	20259
346	10768	20264
347	10791	20218
348	10811	20167
349	10833	20119
350	10844	20050
351	10875	20020
352	10954	20077
353	10966	20012
354	10985	19959
355	11027	19949
356	11088	19972
357	11137	19972
358	11166	19937
359	11210	19929
360	11233	19884
361	11244	19817
362	11277	19789
363	11310	19762
364	11375	19789
365	11388	19727
366	11400	19663
367	11412	19600
368	11421	19530
369	11428	19458
370	11505	19506
371	11545	19490
372	11705	19676
373	11726	19626
374	11744	19574
375	11762	19520
376	11784	19474
377	11862	19520
378	11884	19472
379	11912	19436
380	11926	19377
381	11982	19385
382	12044	19403
383	12069	19361
384	12082	19301
385	12091	19234
386	12101	19168
387	12110	19102
388	12118	19035
389	12185	19059
390	12219	19031
391	12238	18981
392	12248	18918
393	12260	18856
394	12269	18792
395	12331	18808
396	12360	18774
397	12380	18725
398	12403	18682
399	12412	18618
400	12426	18562
401	12470	18551
402	12532	18565
403	12550	18515
404	12570	18467
405	12579	18404
406	12609	18372
407	12688	18410
408	12720	18380
409	12755	18355
410	12767	18297
411	12789	18252
412	12815	18215
413	12898	18257
414	12914	18204
415	12927	18148
416	12939	18090
417	12948	18029
418	12960	17970
419	12998	17949
420	13073	17979
421	13104	17948
422	13135	17917
423	13163	17882
424	13212	17876
425	13240	17840
426	13274	17813
427	13286	17756
428	13297	17699
429	13316	17651
430	13426	17725
431	13443	17676
432	13455	17619
433	13466	17562
434	13474	17501
435	13482	17440
436	13491	17381
437	13522	17350
438	13607	17389
439	13660	17386
440	13670	17328
441	13704	17301
442	13766	17309
443	13793	17273
444	13804	17216
445	13812	17157
446	13863	17150
447	13931	17165
448	13950	17120
449	13960	17063
450	13970	17006
451	13981	16951
452	13991	16894
453	14019	16860
454	14093	16880
455	14123	16848
456	14134	16794
457	14153	16749
458	14162	16692
459	14170	16635
460	14178	16577
461	14239	16581
462	14283	16566
463	14315	16536
464	14350	16511
465	14409	16512
466	14426	16465
467	14440	16415
468	14449	16359
469	14459	16305
470	14479	16262
471	14550	16276
472	14589	16255
473	14634	16239
474	14642	16184
475	14695	16177
476	14757	16180
477	14775	16135
478	14795	16092
479	14804	16038
480	14814	15984
481	14823	15930
482	14858	15903
483	14922	15909
484	14933	15857
485	14944	15805
486	14954	15752
487	14966	15702
488	14979	15653
489	15045	15659
490	15090	15643
491	15100	15591
492	15120	15550
493	15131	15498
494	15140	15446
495	15167	15412
496	15251	15435
497	15264	15387
498	15278	15339
499	15294	15294
500	15364	15303
501	15415	15292
502	15425	15241
503	15435	15190
504	15446	15140
505	15454	15088
506	15464	15037
507	15516	15027
508	15543	14993
509	15620	15008
510	15648	14975
511	15730	14993
512	15741	14943
513	15768	14909
514	15893	14967
515	15924	14937
516	16061	15005
517	16096	14977
518	16133	14952
519	16159	14916
520	16178	14874
521	16196	14831
522	16225	14798
523	16255	14766
524	16281	14730
525	16293	14682
526	16304	14633
527	16366	14630
528	16382	14586
529	16394	14538
